            Line          Column            Code                         Token
|-------------------------------------------------------------------------------|

               1               1             401                       PROGRAM
               1               9            1001                   PARSERTEST6
               1              20               4                             ;
               2               5             402                         BEGIN
               3               9             406                          CASE
               3              14            1002                         COUNT
               3              20             407                            OF
               3              23            1002                         COUNT
               3              29               1                             *
               3              31             501                            50
               3              33               3                             :
               4              13               5                             /
               5              17             406                          CASE
               5              22            1003                        COUNT1
               5              29             407                            OF
               5              32            1003                        COUNT1
               5              39               5                             /
               5              41             502                            25
               5              43               3                             :
               6              17               5                             /
               7              21             406                          CASE
               7              26            1004                          TEMP
               7              31             407                            OF
               8              21             408                       ENDCASE
               8              29               4                             ;
               9              17               6                             \
              10              17             408                       ENDCASE
              10              24               4                             ;
              11              13               6                             \
              12               9             408                       ENDCASE
              12              16               4                             ;
              13               5             403                           END

|-------------------------------------------------------------------------------|


               No ERROR lexemes to analyze

