            Line          Column            Code                         Token
|-------------------------------------------------------------------------------|

               1               1             401                       PROGRAM
               1               9            1001                   PARSERTEST3
               1              20               4                             ;
               2               5             402                         BEGIN
               3               9             406                          CASE
               3              14            1002                         COUNT
               3              20             407                            OF
               3              23            1002                         COUNT
               3              29               1                             *
               3              31             501                            50
               3              33               3                             :
               4              13               5                             /
               5              17             406                          CASE
               5              22            1003                        COUNT1
               5              29             407                            OF
               5              32            1003                        COUNT1
               5              39               5                             /
               5              41             502                            25
               5              43               3                             :
               6              17               5                             /
               7              21             406                          CASE
               7              26            1004                        COUNT2
               7              33             407                            OF
               7              36             503                           222
               7              40             409                           MOD
               7              44            1004                        COUNT2
               7              50               3                             :
               8              21               5                             /
               9              25             406                          CASE
               9              30            1005                        COUNT3
               9              37             407                            OF
               9              40             408                       ENDCASE
               9              47               4                             ;
              10              21               6                             \
              11              21             408                       ENDCASE
              11              28               4                             ;
              12              17               6                             \
              13              17             408                       ENDCASE
              13              24               4                             ;
              14              13               6                             \
              15               9             408                       ENDCASE
              15              16               4                             ;
              16               5             403                           END
              16               8               2                             .
              18               1             401                       PROGRAM
              18               9            1006                  PARSERTEST33
              18              22               4                             ;
              19               5             402                         BEGIN
              20               9             406                          CASE
              20              14             504                             2
              20              16             407                            OF
              21               9             408                       ENDCASE
              21              17               4                             ;
              22               9             406                          CASE
              22              14             505                             3
              22              16             407                            OF
              23               9             408                       ENDCASE
              23              17               4                             ;
              24               9             406                          CASE
              24              14             506                             4
              24              16             407                            OF
              25               9             408                       ENDCASE
              25              17               4                             ;
              27               5             403                           END
              27               8               2                             .

|-------------------------------------------------------------------------------|


               No ERROR lexemes to analyze

